"ID","Name","Discounted Price","Actual Price","Saving","Rating","Reviews","Brand","Core","SSD","Model","Has_GPU","GPU_Family","GPU_Model","GPU_Tier","CPU_Text","CPU_Brand","CPU_Tier","RAM_GB","Storage_GB"
0,"Apple MacBook Air 13 M1 MGN63 (8GB-256GB)",203499,258000,"21% OFF",5,2,"Apple","M1",NA,"MacBook Air 13 M1 MGN63",FALSE,NA,NA,NA,"M1","Apple","Mid",8,256
1,"Apple Macbook Air 13 MW123 M4 Chip",281999,350000,"19% OFF",4.3,5,"Apple","M4",NA,"Macbook Air 13 MW123 M4 Chip",FALSE,NA,NA,NA,"M4","Apple","High",NA,NA
2,"ASUS Zenbook 14 UX3405CA Intel Core Ultra 7 255H (16GB-512GB SSD)",285999,330000,"13% OFF",NA,NA,"Asus","Ultra 7","16GB-512GB SSD","Zenbook 14 UX3405CA Intel Core Ultra 7 255H",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",16,16
3,"Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 7 (16GB-512GB)",287999,340000,"15% OFF",NA,NA,"Lenovo","Ultra 7",NA,"ThinkPad E16 Gen 2 - Intel Core Ultra 7",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",16,512
4,"Lenovo IdeaPad Slim 3 Ryzen 7 (8GB-512GB)",146999,175000,"16% OFF",NA,NA,"Lenovo","Ryzen 7",NA,"IdeaPad Slim 3 Ryzen 7",FALSE,NA,NA,NA,"Ryzen 7","AMD",NA,8,512
5,"HP 250 G10 Ci3 N305 (8GB-512GB SSD)",115999,144999,"20% OFF",NA,NA,"Hp",NA,"8GB-512GB SSD","250 G10 Ci3 N305",FALSE,NA,NA,NA,"HP 250 G10 Ci3 N305 (8GB-512GB SSD)","Intel","Entry",8,8
6,"Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD) 15.6 FHD",169999,249999,"32% OFF",5,1,"Dell",NA,"8GB-256GB SSD","Latitude 3540 Ci5-1335U  15.6 FHD",FALSE,NA,NA,NA,"Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD) 15.6 FHD","Intel","Mid",8,8
7,"Dell Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB)",343999,415000,"17% OFF",NA,NA,"Dell","Core i7",NA,"Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,512
8,"Dell Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB)",251999,320000,"21% OFF",NA,NA,"Dell","Core i7",NA,"Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,512
9,"Lenovo IdeaPad Slim 3 Core i5 13th Gen",134999,174999,"23% OFF",5,2,"Lenovo","Core i5",NA,"IdeaPad Slim 3 Core i5 13th Gen",FALSE,NA,NA,NA,"Core i5","Intel","Mid",NA,NA
10,"HP Probook 450 G10 Core i5 13th Gen 1335U",179999,2e+05,"10% OFF",3,1,"Hp","Core i5",NA,"Probook 450 G10 Core i5 13th Gen 1335U",FALSE,NA,NA,NA,"Core i5","Intel","Mid",NA,NA
11,"Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i7 (8GB - 512GB)",277999,3e+05,"7% OFF",NA,NA,"Lenovo","Core i7",NA,"ThinkPad E16 G1 14 Inches 13th Gen Core i7",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,512
12,"Lenovo LOQ 15  Inches 13th Gen Core i7 (16GB - 512GB)",324999,380000,"14% OFF",NA,NA,"Lenovo","Core i7",NA,"LOQ 15  Inches 13th Gen Core i7",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",16,512
13,"HP 15s FQ2653TU 11th Gen  Core i7 (8GB-512GB)",160999,180000,"11% OFF",NA,NA,"Hp","Core i7",NA,"15s FQ2653TU 11th Gen  Core i7",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,512
14,"HP OMEN 16-WD0073dx Ci7-13620H (16GB - 1TB) RTX-4060-8GB",365999,390000,"6% OFF",NA,NA,"Hp",NA,NA,"OMEN 16-WD0073dx Ci7-13620H  RTX-4060-8GB",TRUE,"RTX",4060,"Upper-Mid","HP OMEN 16-WD0073dx Ci7-13620H (16GB - 1TB) RTX-4060-8GB","Intel","Upper-Mid",16,1024
